pdb_id,pdb_id_2,chain_1_elements,chain_2_elements,chain_2.1,total_chains,chain_1_id,chain_2_id,chain_1,chain_2,chain_1_protein_name,chain_2_protein_name,chain_1_organism,chain_2_organism,chain_1_aa_len,chain_2_aa_len,percent_of_simmilariry,protein_pair_type,chain_1.1
4RKU,4RKU_2_5,B,E,5,"B,E",4RKU_2,4RKU_5,2,5,Photosystem I P700 chlorophyll a apoprotein A2,"Photosystem I reaction center subunit IV B, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),731,63,7.15249662618084,heteromeric proteins,2
4RKU,4RKU_1_16,A,3,16,"A,3",4RKU_1,4RKU_16,1,16,Photosystem I P700 chlorophyll a apoprotein A1,"Chlorophyll a-b binding protein 3, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,275,18.854415274463,heteromeric proteins,1
4RKU,4RKU_1_14,A,"N,1",14,"A,N,1",4RKU_1,4RKU_14,1,14,Photosystem I P700 chlorophyll a apoprotein A1,"Chlorophyll a-b binding protein 6A, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,182,15.3256704980843,heteromeric proteins,1
4RKU,4RKU_1_2,A,B,2,"A,B",4RKU_1,4RKU_2,1,2,Photosystem I P700 chlorophyll a apoprotein A1,Photosystem I P700 chlorophyll a apoprotein A2,Pisum sativum (3888),Pisum sativum (3888),721,731,36.2101313320826,heteromeric proteins,1
4RKU,4RKU_1_4,A,D,4,"A,D",4RKU_1,4RKU_4,1,4,Photosystem I P700 chlorophyll a apoprotein A1,"Photosystem I reaction center subunit II, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,137,13.1926121372032,heteromeric proteins,1
4RKU,4RKU_1_6,A,F,6,"A,F",4RKU_1,4RKU_6,1,6,Photosystem I P700 chlorophyll a apoprotein A1,"Photosystem I reaction center subunit III, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,152,14.4167758846658,heteromeric proteins,1
4RKU,4RKU_1_5,A,E,5,"A,E",4RKU_1,4RKU_5,1,5,Photosystem I P700 chlorophyll a apoprotein A1,"Photosystem I reaction center subunit IV B, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,63,7.54458161865569,heteromeric proteins,1
4RKU,4RKU_1_10,A,J,10,"A,J",4RKU_1,4RKU_10,1,10,Photosystem I P700 chlorophyll a apoprotein A1,Photosystem I reaction center subunit IX,Pisum sativum (3888),Pisum sativum (3888),721,40,5.4016620498615,heteromeric proteins,1
4RKU,4RKU_1_11,A,K,11,"A,K",4RKU_1,4RKU_11,1,11,Photosystem I P700 chlorophyll a apoprotein A1,Photosystem I reaction center subunit X psaK,Pisum sativum (3888),Pisum sativum (3888),721,72,9.22865013774105,heteromeric proteins,1
4RKU,4RKU_1_12,A,L,12,"A,L",4RKU_1,4RKU_12,1,12,Photosystem I P700 chlorophyll a apoprotein A1,"Photosystem I reaction center subunit XI, chloroplastic",Pisum sativum (3888),Pisum sativum (3888),721,163,15.1041666666667,heteromeric proteins,1
4RKU,4RKU_1_13,A,N,13,"A,N",4RKU_1,4RKU_13,1,13,Photosystem I P700 chlorophyll a apoprotein A1,Photosystem I-N subunit,Pisum sativum (3888),Pisum sativum (3888),721,85,8.7719298245614,heteromeric proteins,1
4RKU,4RKU_1_15,A,2,15,"A,2",4RKU_1,4RKU_15,1,15,Photosystem I P700 chlorophyll a apoprotein A1,Type II chlorophyll a/b binding protein from photosystem I,Pisum sativum (3888),Pisum sativum (3888),721,199,16.015132408575,heteromeric proteins,1
4UQI,4UQI_2_3,B,M,3,"B,M",4UQI_2,4UQI_3,2,3,AP-2 COMPLEX SUBUNIT BETA,AP-2 COMPLEX SUBUNIT MU,HOMO SAPIENS (9606),RATTUS NORVEGICUS (10116),657,446,21.0757409440176,heteromeric proteins,2
4UQI,4UQI_2_4,B,S,4,"B,S",4UQI_2,4UQI_4,2,4,AP-2 COMPLEX SUBUNIT BETA,AP-2 COMPLEX SUBUNIT SIGMA,HOMO SAPIENS (9606),MUS MUSCULUS (10090),657,142,14.3061516452074,heteromeric proteins,2
3VR8,3VR8_1_3,"E,A","G,C",3,"E,A,G,C",3VR8_1,3VR8_3,1,3,Flavoprotein subunit of complex II,Cytochrome b-large subunit,Ascaris suum (6253),Ascaris suum (6253),645,188,16.9943820224719,heteromeric proteins,1
3VR8,3VR8_1_2,"E,A","F,B",2,"E,A,F,B",3VR8_1,3VR8_2,1,2,Flavoprotein subunit of complex II,Iron-sulfur subunit of succinate dehydrogenase,Ascaris suum (6253),Ascaris suum (6253),645,282,20.5461638491547,heteromeric proteins,1
6URI,6URI_1_2,A,"B,S",2,"A,B,S",6URI_1,6URI_2,1,2,AP-2 complex subunit alpha,AP-2 complex subunit sigma,Rattus norvegicus (10116),Homo sapiens (9606),641,142,14.6412884333821,heteromeric proteins,1
6URI,6URI_1_3,A,N,3,"A,N",6URI_1,6URI_3,1,3,AP-2 complex subunit alpha,Protein Nef,Rattus norvegicus (10116),Human immunodeficiency virus 1 (11676),641,186,16.3150492264416,heteromeric proteins,1
6URI,6URI_1_6,A,D,6,"A,D",6URI_1,6URI_6,1,6,AP-2 complex subunit alpha,"cDNA FLJ50658, highly similar to T-cell surface glycoprotein CD4",Rattus norvegicus (10116),Homo sapiens (9606),641,62,8.32049306625578,heteromeric proteins,1
4UQI,4UQI_1_2,A,B,2,"A,B",4UQI_1,4UQI_2,1,2,AP-2 COMPLEX SUBUNIT ALPHA-2,AP-2 COMPLEX SUBUNIT BETA,RATTUS NORVEGICUS (10116),HOMO SAPIENS (9606),628,657,23.9151398264224,heteromeric proteins,1
4UQI,4UQI_1_3,A,M,3,"A,M",4UQI_1,4UQI_3,1,3,AP-2 COMPLEX SUBUNIT ALPHA-2,AP-2 COMPLEX SUBUNIT MU,RATTUS NORVEGICUS (10116),RATTUS NORVEGICUS (10116),628,446,21.2189616252822,heteromeric proteins,1
4UQI,4UQI_1_4,A,S,4,"A,S",4UQI_1,4UQI_4,1,4,AP-2 COMPLEX SUBUNIT ALPHA-2,AP-2 COMPLEX SUBUNIT SIGMA,RATTUS NORVEGICUS (10116),MUS MUSCULUS (10090),628,142,14.9253731343284,heteromeric proteins,1
4P6Z,4P6Z_1_4,G,B,4,"G,B",4P6Z_1,4P6Z_4,1,4,AP-1 complex subunit gamma-1,AP-1 complex subunit beta-1,Mus musculus (10090),Homo sapiens (9606),627,600,24.4421906693712,heteromeric proteins,1
4P6Z,4P6Z_1_3,G,M,3,"G,M",4P6Z_1,4P6Z_3,1,3,AP-1 complex subunit gamma-1,AP-1 complex subunit mu-1,Mus musculus (10090),Mus musculus (10090),627,423,21.9512195121951,heteromeric proteins,1
4P6Z,4P6Z_1_2,G,"B,S",2,"G,B,S",4P6Z_1,4P6Z_2,1,2,AP-1 complex subunit gamma-1,AP-1 complex subunit sigma-1A,Mus musculus (10090),Homo sapiens (9606),627,158,16.4688427299703,heteromeric proteins,1
4P6Z,4P6Z_1_5,G,V,5,"G,V",4P6Z_1,4P6Z_5,1,5,AP-1 complex subunit gamma-1,Protein Vpu,Mus musculus (10090),Human immunodeficiency virus type 1 group M subtype B (11691),627,63,9.00473933649289,heteromeric proteins,1
2JKR,2JKR_1_2,"E,L,A","E,B",2,"E,L,A,E,B",2JKR_1,2JKR_2,1,2,AP-2 COMPLEX SUBUNIT ALPHA-2,AP-2 COMPLEX SUBUNIT BETA-1,MUS MUSCULUS (10090),HOMO SAPIENS (9606),623,591,24.6406570841889,heteromeric proteins,1
2JKR,2JKR_1_4,"E,L,A","U,M",4,"E,L,A,U,M",2JKR_1,2JKR_4,1,4,AP-2 COMPLEX SUBUNIT ALPHA-2,AP-2 COMPLEX SUBUNIT MU-1,MUS MUSCULUS (10090),RATTUS NORVEGICUS (10116),623,435,21.1912943871707,heteromeric proteins,1
